date_obj,Jug%20of%20water price
2015-10-31,95
2015-11-01,95
2015-11-02,98
2015-11-03,100
2015-11-04,100
2015-11-05,98
2015-11-06,98
2015-11-07,97
2015-11-08,97
2015-11-09,101
2015-11-10,101
2015-11-11,106
2015-11-12,111
2015-11-13,111
2015-11-14,117
2015-11-15,121
2015-11-16,121
2015-11-17,125
2015-11-18,130
2015-11-19,136
2015-11-20,142
2015-11-21,142
2015-11-22,145
2015-11-23,145
2015-11-24,141
2015-11-25,139
2015-11-26,139
2015-11-27,137
2015-11-28,133
2015-11-29,130
2015-11-30,131
2015-12-01,135
2015-12-02,139
2015-12-03,137
2015-12-04,131
2015-12-05,124
2015-12-06,118
2015-12-07,112
2015-12-08,107
2015-12-09,106
2015-12-10,111
2015-12-11,116
2015-12-12,121
2015-12-13,122
2015-12-14,122
2015-12-15,120
2015-12-16,121
2015-12-17,126
2015-12-18,132
2015-12-19,137
2015-12-20,137
2015-12-21,137
2015-12-22,139
2015-12-23,141
2015-12-24,137
2015-12-25,140
2015-12-26,141
2015-12-27,135
2015-12-28,128
2015-12-29,121
2015-12-30,115
2015-12-31,115
2016-01-01,118
2016-01-02,123
2016-01-03,126
2016-01-04,125
2016-01-05,124
2016-01-06,120
2016-01-07,121
2016-01-08,121
2016-01-09,116
2016-01-10,112
2016-01-11,109
2016-01-12,111
2016-01-13,117
2016-01-14,121
2016-01-15,121
2016-01-16,117
2016-01-17,118
2016-01-18,116
2016-01-19,120
2016-01-20,117
2016-01-21,119
2016-01-22,117
2016-01-23,112
2016-01-24,107
2016-01-25,103
2016-01-26,97
2016-01-27,92
2016-01-28,92
2016-01-29,92
2016-01-30,92
2016-01-31,94
2016-02-01,95
2016-02-02,95
2016-02-03,90
2016-02-04,85
2016-02-05,82
2016-02-06,83
2016-02-07,81
2016-02-08,76
2016-02-09,78
2016-02-10,81
2016-02-11,85
2016-02-12,89
2016-02-13,93
2016-02-14,92
2016-02-15,94
2016-02-16,96
2016-02-17,98
2016-02-18,95
2016-02-19,95
2016-02-20,90
2016-02-21,85
2016-02-22,80
2016-02-23,76
2016-02-24,78
2016-02-25,81
2016-02-26,84
2016-02-27,84
2016-02-28,83
2016-02-29,84
2016-03-01,82
2016-03-02,81
2016-03-03,80
2016-03-04,77
2016-03-05,74
2016-03-06,71
2016-03-07,70
2016-03-08,68
2016-03-09,69
2016-03-10,70
2016-03-11,71
2016-03-12,71
2016-03-13,72
2016-03-14,73
2016-03-15,72
2016-03-16,71
2016-03-17,69
2016-03-18,69
2016-03-19,69
2016-03-20,69
2016-03-21,70
2016-03-22,68
2016-03-23,67
2016-03-24,69
2016-03-25,70
2016-03-26,69
2016-03-27,67
2016-03-28,67
2016-03-29,66
2016-03-30,67
2016-03-31,66
2016-04-01,67
2016-04-02,67
2016-04-03,64
2016-04-04,62
2016-04-05,61
2016-04-06,62
2016-04-07,59
2016-04-08,57
2016-04-09,56
2016-04-10,54
2016-04-11,54
2016-04-12,54
2016-04-13,54
2016-04-14,51
2016-04-15,52
2016-04-16,54
2016-04-17,52
2016-04-18,50
2016-04-19,50
2016-04-20,51
2016-04-21,50
2016-04-22,50
2016-04-23,51
2016-04-24,50
2016-04-25,51
2016-04-26,52
2016-04-27,53
2016-04-28,52
2016-04-29,49
2016-04-30,48
2016-05-01,47
2016-05-02,45
2016-05-03,44
2016-05-04,46
2016-05-05,45
2016-05-06,45
2016-05-07,43
2016-05-08,40
2016-05-09,38
2016-05-10,36
2016-05-11,36
2016-05-12,37
2016-05-13,38
2016-05-14,40
2016-05-15,42
2016-05-16,45
2016-05-17,47
2016-05-18,46
2016-05-19,45
2016-05-22,42
2016-05-23,40
2016-05-24,40
2016-05-25,40
2016-05-26,40
2016-05-27,40
2016-05-28,42
2016-05-29,43
2016-05-30,41
2016-05-31,41
2016-06-01,41
2016-06-02,41
2016-06-03,42
2016-06-04,43
2016-06-05,41
2016-06-06,41
2016-06-07,42
2016-06-08,43
2016-06-09,43
2016-06-10,42
2016-06-11,43
2016-06-12,43
2016-06-13,45
2016-06-14,47
2016-06-15,45
2016-06-16,45
2016-06-17,45
2016-06-18,45
2016-06-19,45
2016-06-20,46
2016-06-21,46
2016-06-22,46
2016-06-23,48
2016-06-24,50
2016-06-25,50
2016-06-26,50
2016-06-27,51
2016-06-28,52
2016-06-29,53
2016-06-30,52
2016-07-01,50
2016-07-02,51
2016-07-03,50
2016-07-04,51
2016-07-05,52
2016-07-06,52
2016-07-07,51
2016-07-08,51
2016-07-09,51
2016-07-10,51
2016-07-11,51
2016-07-12,51
2016-07-13,51
2016-07-14,52
2016-07-15,51
2016-07-16,51
2016-07-17,50
2016-07-18,49
2016-07-23,51
2016-07-24,49
2016-07-25,46
2016-07-26,45
2016-07-27,44
2016-07-28,44
2016-07-29,42
2016-07-30,39
2016-07-31,39
2016-08-01,37
2016-08-02,37
2016-08-03,37
2016-08-04,38
2016-08-05,38
2016-08-06,37
2016-08-07,36
2016-08-08,37
2016-08-09,38
2016-08-10,39
2016-08-11,40
2016-08-12,41
2016-08-13,43
2016-08-14,44
2016-08-15,45
2016-08-16,47
2016-08-17,48
2016-08-18,48
2016-08-19,49
2016-08-20,46
2016-08-21,46
2016-08-22,45
2016-08-23,45
2016-08-24,46
2016-08-25,45
2016-08-26,45
2016-08-28,46
2016-08-31,47
2016-09-01,47
2016-09-02,47
2016-09-03,45
2016-09-04,45
2016-09-05,46
2016-09-06,47
2016-09-07,48
2016-09-08,47
2016-09-09,46
2016-09-10,46
2016-09-11,45
2016-09-12,46
2016-09-13,46
2016-09-14,48
2016-09-15,47
2016-09-16,47
2016-09-17,45
2016-09-18,44
2016-09-19,42
2016-09-20,39
2016-09-21,38
2016-09-22,36
2016-09-23,34
2016-09-24,34
2016-09-25,32
2016-09-26,30
2016-09-27,28
2016-09-28,26
2016-09-29,24
2016-09-30,22
2016-10-01,20
2016-10-02,19
2016-10-03,18
2016-10-04,17
2016-10-05,16
2016-10-06,15
2016-10-07,14
2016-10-08,13
2016-10-09,12
2016-10-10,12
2016-10-11,12
2016-10-12,12
2016-10-13,12
2016-10-14,13
2016-10-15,14
2016-10-16,15
2016-10-17,16
2016-10-18,17
2016-10-19,18
2016-10-20,19
2016-10-21,20
2016-10-22,20
2016-10-23,21
2016-10-24,23
2016-10-25,23
2016-10-26,25
2016-10-27,27
2016-10-28,29
2016-10-29,31
2016-10-30,33
2016-10-31,35
2016-11-01,35
2016-11-02,37
2016-11-03,39
2016-11-04,40
2016-11-05,40
2016-11-06,38
2016-11-07,38
2016-11-08,39
2016-11-09,40
2016-11-10,41
2016-11-11,44
2016-11-12,46
2016-11-13,46
2016-11-14,48
2016-12-07,29
2016-12-08,27
2016-12-09,26
2016-12-10,25
2016-12-11,24
2016-12-12,24
2016-12-13,23
2016-12-14,22
2016-12-15,22
2016-12-16,22
2016-12-17,21
2016-12-18,21
2016-12-19,20
2016-12-20,20
2016-12-21,19
2016-12-22,18
2016-12-23,18
2016-12-24,18
2016-12-25,18
2016-12-26,18
2016-12-27,18
2016-12-28,18
2016-12-29,18
2016-12-30,19
2016-12-31,19
2017-01-01,19
2017-01-02,19
2017-01-03,20
2017-01-04,20
2017-01-05,21
2017-01-06,23
2017-01-07,24
2017-01-08,25
2017-01-09,26
2017-01-10,27
2017-01-11,27
2017-01-12,28
2017-01-13,28
2017-01-14,30
2017-01-15,32
2017-01-16,32
2017-01-17,32
2017-01-18,33
2017-01-19,34
2017-01-20,35
2017-01-21,36
2017-01-22,35
2017-01-27,29
2017-01-28,27
2017-01-29,25
2017-01-30,23
2017-01-31,22
2017-02-01,21
2017-02-02,21
2017-02-03,21
2017-02-04,21
2017-02-05,22
2017-02-06,22
2017-02-07,22
2017-02-08,23
2017-02-09,25
2017-02-10,27
2017-02-11,28
2017-02-12,28
2017-02-13,29
2017-02-14,30
2017-02-15,31
2017-02-16,32
2017-02-18,33
2017-02-19,34
2017-02-20,35
2017-02-21,36
2017-02-22,38
2017-02-23,39
2017-02-24,37
2017-02-25,35
2017-02-26,34
2017-02-27,33
2017-02-28,33
2017-03-01,33
2017-03-02,34
2017-03-03,35
2017-03-04,35
2017-03-05,36
2017-03-06,37
2017-03-07,38
2017-03-08,37
2017-03-09,36
2017-03-10,36
2017-03-11,35
2017-03-12,34
2017-03-13,34
2017-03-14,33
2017-03-15,33
2017-03-16,32
2017-03-17,31
2017-03-18,29
2017-03-19,27
2017-03-20,27
2017-03-21,28
2017-03-22,29
2017-03-23,29
2017-03-24,29
2017-03-25,30
2017-03-26,31
2017-03-27,31
2017-03-28,29
2017-03-29,28
2017-03-30,27
2017-03-31,26
2017-04-01,24
2017-04-02,23
2017-04-03,24
2017-04-04,25
2017-04-12,33
2017-04-13,33
2017-04-14,32
2017-04-15,31
2017-04-16,30
2017-04-17,28
2017-04-18,28
2017-04-19,28
2017-04-20,29
2017-04-21,28
2017-04-22,27
2017-04-23,27
2017-04-24,28
2017-04-25,29
2017-04-26,29
2017-04-27,28
2017-04-28,28
2017-04-29,29
2017-04-30,28
2017-05-01,27
2017-05-02,25
2017-05-03,23
2017-05-04,21
2017-05-05,22
2017-05-06,21
2017-05-07,19
2017-05-08,18
2017-05-09,18
2017-05-10,18
2017-05-11,19
2017-05-12,19
2017-05-13,19
2017-05-14,20
2017-05-15,20
2017-05-16,20
2017-05-17,20
2017-05-18,20
2017-05-19,21
2017-05-20,22
2017-05-21,22
2017-05-22,21
2017-05-23,21
2017-05-24,21
2017-05-25,21
2017-05-26,22
2017-05-27,22
2017-05-28,21
2017-05-29,22
2017-05-30,22
2017-05-31,22
2017-06-01,22
2017-06-02,21
2017-06-03,20
2017-06-04,20
2017-06-06,20
2017-06-07,19
2017-06-08,18
2017-06-09,17
2017-06-10,17
2017-06-11,17
2017-06-12,17
2017-06-13,17
2017-06-14,17
2017-06-15,16
2017-06-16,15
2017-06-17,14
2017-06-18,13
2017-06-19,13
2017-06-20,13
2017-06-21,14
2017-06-22,15
2017-06-23,15
2017-06-24,16
2017-06-25,16
2017-06-26,16
2017-06-27,16
2017-06-28,16
2017-06-29,16
2017-06-30,16
2017-07-01,16
2017-07-02,16
2017-07-03,16
2017-07-04,16
2017-07-05,15
2017-07-06,15
2017-07-07,14
2017-07-08,14
2017-07-13,13
2017-07-14,14
2017-07-15,14
2017-07-16,13
2017-07-17,13
2017-07-18,12
2017-07-19,12
2017-07-20,11
2017-07-21,11
2017-07-22,10
2017-07-23,10
2017-07-24,10
2017-07-25,10
2017-07-26,10
2017-07-27,10
2017-07-28,11
2017-07-29,12
2017-07-30,12
2017-07-31,13
2017-08-01,14
2017-08-02,15
2017-08-03,15
2017-08-04,15
2017-08-05,15
2017-08-06,15
2017-08-09,14
2017-08-10,14
2017-08-11,13
2017-08-12,13
2017-08-13,13
2017-08-14,13
2017-08-15,13
2017-08-16,13
2017-08-17,12
2017-08-18,12
2017-08-19,12
2017-08-20,12
2017-08-21,12
2017-08-22,12
2017-08-23,12
2017-08-24,12
2017-08-25,12
2017-08-26,11
2017-08-27,10
2017-08-28,10
2017-08-29,10
2017-08-30,10
2017-08-31,10
2017-09-01,9
2017-09-02,9
2017-09-03,9
2017-09-04,9
2017-09-05,9
2017-09-06,9
2017-09-07,8
2017-09-08,8
2017-09-09,8
2017-09-10,8
2017-09-11,8
2017-09-12,8
2017-09-13,8
2017-09-14,8
2017-09-15,8
2017-09-16,8
2017-09-17,8
2017-09-19,8
2017-09-20,8
2017-09-21,8
2017-09-22,8
2017-09-23,8
2017-09-24,8
2017-09-25,7
2017-09-26,8
2017-09-27,8
2017-09-28,8
2017-09-29,8
2017-09-30,8
2017-10-01,8
2017-10-02,8
2017-10-03,8
2017-10-04,8
2017-10-05,8
2017-10-06,8
2017-10-07,8
2017-10-08,8
2017-10-09,8
2017-10-10,8
2017-10-11,8
2017-10-12,8
2017-10-13,8
2017-10-14,8
2017-10-15,8
2017-10-16,8
2017-10-17,8
2017-10-18,8
2017-10-19,8
2017-10-20,8
2017-10-21,8
2017-10-22,8
2017-10-23,8
2017-10-24,8
2017-10-25,8
2017-10-26,8
2017-10-27,8
2017-10-28,8
2017-10-29,8
2017-10-30,8
2017-10-31,8
2017-11-01,8
2017-11-02,8
2017-11-03,9
2017-11-04,9
2017-11-05,9
2017-11-06,9
2017-11-07,9
2017-11-08,9
2017-11-09,10
2017-11-10,11
2017-11-11,12
2017-11-12,13
2017-11-13,14
2017-11-14,15
2017-11-15,16
2017-11-16,17
2017-11-17,17
2017-11-18,17
2017-11-19,17
2017-11-20,16
2017-11-21,16
2017-11-22,16
2017-11-23,16
2017-11-24,15
2017-11-25,15
2017-11-26,16
2017-11-27,16
2017-11-28,17
2017-11-29,18
2017-11-30,19
2017-12-01,20
2017-12-02,21
2017-12-03,23
2017-12-04,25
2017-12-05,27
2017-12-06,28
2017-12-07,28
2017-12-08,29
2017-12-09,30
2017-12-10,31
2017-12-11,31
2017-12-12,30
2017-12-14,28
2017-12-15,27
2017-12-16,26
2017-12-17,25
2017-12-18,23
2017-12-19,22
2017-12-20,23
2017-12-21,23
2017-12-22,25
2017-12-23,25
2017-12-24,25
2017-12-25,25
2017-12-26,24
2017-12-27,22
2017-12-28,21
2017-12-29,19
2017-12-30,18
2017-12-31,17
2018-01-01,16
2018-01-02,15
2018-01-03,14
2018-01-04,13
2018-01-05,12
2018-01-06,13
2018-01-07,14
2018-01-08,15
2018-01-09,16
2018-01-10,17
2018-01-11,18
2018-01-12,19
2018-01-13,20
2018-01-14,21
2018-01-15,23
2018-01-16,24
2018-01-17,25
2018-01-18,26
2018-01-19,26
2018-01-20,26
2018-01-21,26
2018-01-22,27
2018-01-23,27
2018-01-25,23
2018-01-26,22
2018-01-27,22
2018-01-28,21
2018-01-29,21
2018-01-30,21
2018-01-31,21
2018-02-01,22
2018-02-02,23
2018-02-03,24
2018-02-04,24
2018-02-05,25
2018-02-06,26
2018-02-07,26
2018-02-08,27
2018-02-09,27
2018-02-10,28
2018-02-11,28
2018-02-12,28
2018-02-13,26
2018-02-14,25
2018-02-15,23
2018-02-16,21
2018-02-17,19
2018-02-18,18
2018-02-19,18
2018-02-20,19
2018-02-21,19
2018-02-22,19
2018-02-23,18
2018-02-24,18
2018-02-25,18
2018-02-26,18
2018-02-27,18
2018-02-28,17
2018-03-01,17
2018-03-02,17
2018-03-03,17
2018-03-04,17
2018-03-05,17
2018-03-06,16
2018-03-07,16
2018-03-08,16
2018-03-09,15
2018-03-10,15
2018-03-11,14
2018-03-12,13
2018-03-13,13
2018-03-14,14
2018-03-15,14
2018-03-16,14
2018-03-17,15
2018-03-18,15
2018-03-19,15
2018-03-20,15
2018-03-21,15
2018-03-23,15
2018-03-24,15
2018-03-25,15
2018-03-26,14
2018-03-27,14
2018-03-28,14
2018-03-29,14
2018-03-30,14
2018-03-31,14
2018-04-01,14
2018-04-02,13
2018-04-03,13
2018-04-04,13
2018-04-05,13
2018-04-06,13
2018-04-07,13
2018-04-08,13
2018-04-09,13
2018-04-10,13
2018-04-11,13
2018-04-12,13
2018-04-13,13
2018-04-14,13
2018-04-15,13
2018-04-16,13
2018-04-17,13
2018-04-18,13
2018-04-19,13
2018-04-20,13
2018-04-21,13
2018-04-22,13
2018-04-23,13
2018-04-24,13
2018-04-25,13
2018-04-26,13
2018-04-27,13
2018-04-28,13
2018-04-29,13
2018-04-30,13
2018-05-01,14
2018-05-04,14
2018-05-05,14
2018-05-06,14
2018-05-07,15
2018-05-08,15
2018-05-09,16
2018-05-10,17
2018-05-11,18
2018-05-12,18
2018-05-13,18
2018-05-14,19
2018-05-15,20
2018-05-16,21
2018-05-17,22
2018-05-18,23
2018-05-19,25
2018-05-20,26
2018-05-21,25
2018-05-22,24
2018-05-23,25
2018-05-24,27
2018-05-25,28
2018-05-26,29
2018-05-27,30
2018-05-28,32
2018-05-29,34
2018-05-30,36
2018-05-31,38
2018-06-01,40
2018-06-02,42
2018-06-03,39
2018-06-04,37
2018-06-05,35
2018-06-06,33
2018-06-07,31
2018-06-08,29
2018-06-09,27
2018-06-10,25
2018-06-11,23
2018-06-12,22
2018-06-13,21
2018-06-14,22
2018-06-15,22
2018-06-16,22
2018-06-17,22
2018-06-18,20
2018-06-19,20
2018-06-20,20
2018-06-21,19
2018-06-22,19
2018-06-23,19
2018-06-24,18
2018-06-25,17
2018-06-26,16
2018-06-27,15
2018-06-28,14
2018-06-29,14
2018-06-30,14
2018-07-01,14
2018-07-02,13
2018-07-03,13
2018-07-04,14
2018-07-05,15
2018-07-06,15
2018-07-07,15
2018-07-08,16
2018-07-09,16
2018-07-10,16
2018-07-11,15
2018-07-12,16
2018-07-13,16
2018-07-14,16
2018-07-15,15
2018-07-16,14
2018-07-17,14
2018-07-18,14
2018-07-19,15
2018-07-20,15
2018-07-21,15
2018-07-22,14
2018-07-23,14
2018-07-24,13
2018-07-25,13
2018-07-26,13
2018-07-27,13
2018-07-28,13
2018-07-29,14
2018-07-30,14
2018-07-31,14
2018-08-01,14
2018-08-02,15
2018-08-03,14
2018-08-04,14
2018-08-05,14
2018-08-06,14
2018-08-07,14
2018-08-08,14
2018-08-09,14
2018-08-10,14
2018-08-11,15
2018-08-12,16
2018-08-14,17
2018-08-16,18
2018-08-17,19
2018-08-18,19
2018-08-19,20
2018-08-20,20
2018-08-21,21
2018-08-22,22
2018-08-23,21
2018-08-24,20
2018-08-25,20
2018-08-26,20
2018-08-27,20
2018-08-28,20
2018-08-29,21
2018-08-30,22
2018-08-31,22
2018-09-01,22
2018-09-02,23
2018-09-03,24
2018-09-04,24
2018-09-05,24
2018-09-06,23
2018-09-07,23
2018-09-08,22
2018-09-09,23
2018-09-10,24
2018-09-11,23
2018-09-12,24
2018-09-13,22
2018-09-14,20
2018-09-15,19
2018-09-16,19
2018-09-17,19
2018-09-18,20
2018-09-19,21
2018-09-20,22
2018-09-21,22
2018-09-22,21
2018-09-23,20
2018-09-24,21
2018-09-25,22
2018-09-26,24
2018-09-27,26
2018-09-28,28
2018-09-29,30
2018-09-30,32
2018-10-02,36
2018-10-03,37
2018-10-04,38
2018-10-05,38
2018-10-06,36
2018-10-07,34
2018-10-08,32
2018-10-09,30
2018-10-10,28
2018-10-11,27
2018-10-12,27
2018-10-13,27
2018-10-14,27
2018-10-15,29
2018-10-16,30
2018-10-17,32
2018-10-18,33
2018-10-19,33
2018-10-20,33
2018-10-21,32
2018-10-22,31
2018-10-23,31
2018-10-24,30
2018-10-25,28
2018-10-26,29
2018-10-27,28
2018-10-28,27
2018-10-29,25
2018-10-30,23
2018-10-31,22
2018-11-01,21
2018-11-03,22
2018-11-04,21
2018-11-05,22
2018-11-06,23
2018-11-07,24
2018-11-08,23
2018-11-09,22
2018-11-10,20
2018-11-11,20
2018-11-12,20
2018-11-13,20
2018-11-14,20
2018-11-15,20
2018-11-16,20
2018-11-17,19
2018-11-18,18
2018-11-19,18
2018-11-20,17
2018-11-21,16
2018-11-22,16
2018-11-23,17
2018-11-24,18
2018-11-25,19
2018-11-26,20
2018-11-27,19
2018-11-28,18
2018-11-29,17
2018-12-01,18
2018-12-02,17
2018-12-03,17
2018-12-05,15
2018-12-07,13
2018-12-09,14
2018-12-10,13
2018-12-11,13
2018-12-12,12
2018-12-13,13
2018-12-14,14
2018-12-15,15
2018-12-16,16
2018-12-17,17
2018-12-18,18
2018-12-19,18
2018-12-20,18
2018-12-21,18
2018-12-22,17
2018-12-23,17
2018-12-24,18
2018-12-25,19
2018-12-26,20
2018-12-27,21
2018-12-28,22
2018-12-29,24
2018-12-30,24
2018-12-31,23
2019-01-01,22
2019-01-02,21
2019-01-03,21
2019-01-04,20
2019-01-05,20
2019-01-06,20
2019-01-08,20
2019-01-10,19
2019-01-11,19
2019-01-12,20
2019-01-13,20
2019-01-14,20
2019-01-15,21
2019-01-16,21
2019-01-17,21
2019-01-18,21
2019-01-19,21
2019-01-20,21
2019-01-22,21
2019-01-23,20
2019-01-24,20
2019-01-25,20
2019-01-26,20
2019-01-27,20
2019-01-28,21
2019-01-29,22
2019-01-30,21
2019-01-31,20
2019-02-01,19
2019-02-02,19
2019-02-03,19
2019-02-04,19
2019-02-05,19
2019-02-06,20
2019-02-07,20
2019-02-08,20
2019-02-09,20
2019-02-10,20
2019-02-11,19
2019-02-12,18
2019-02-13,18
2019-02-14,18
2019-02-15,18
2019-02-16,18
2019-02-17,18
2019-02-18,18
2019-02-19,18
2019-02-20,18
2019-02-21,18
2019-02-22,18
2019-02-23,18
2019-02-24,18
2019-02-25,18
2019-02-26,18
2019-02-27,18
2019-02-28,18
2019-03-01,18
2019-03-02,18
2019-03-03,18
2019-03-04,18
2019-03-05,18
2019-03-06,18
2019-03-07,17
2019-03-08,17
2019-03-09,17
2019-03-10,17
2019-03-11,17
2019-03-12,17
2019-03-13,17
2019-03-14,17
2019-03-15,17
2019-03-16,17
2019-03-17,17
2019-03-18,17
2019-03-19,17
2019-03-20,17
2019-03-21,17
2019-03-22,17
2019-03-23,17
2019-03-24,17
2019-03-25,18
2019-03-26,19
2019-03-27,20
2019-03-28,20
2019-03-29,20
2019-03-30,20
2019-03-31,20
2019-04-01,20
2019-04-02,20
2019-04-03,20
2019-04-04,20
2019-04-05,20
2019-04-06,20
2019-04-07,20
2019-04-08,20
2019-04-09,20
2019-04-10,19
2019-04-11,18
2019-04-12,18
2019-04-13,17
2019-04-14,16
2019-04-15,15
2019-04-16,15
2019-04-17,15
2019-04-18,15
2019-04-19,15
2019-04-20,14
2019-04-21,14
2019-04-22,13
2019-04-23,13
2019-04-24,13
2019-04-25,13
2019-04-26,14
2019-04-27,14
2019-04-28,15
2019-04-29,15
2019-04-30,15
2019-05-01,14
2019-05-02,14
2019-05-03,14
2019-05-04,14
2019-05-05,14
2019-05-06,14
2019-05-07,14
2019-05-08,14
2019-05-09,14
2019-05-10,14
2019-05-11,14
2019-05-12,14
2019-05-13,14
2019-05-14,14
2019-05-15,14
2019-05-16,14
2019-05-17,14
2019-05-18,14
2019-05-19,14
2019-05-20,14
2019-05-21,14
2019-05-22,13
2019-05-23,13
2019-05-24,12
2019-05-25,11
2019-05-26,10
2019-05-27,11
2019-05-28,11
2019-05-29,12
2019-05-30,12
2019-05-31,12
2019-06-01,11
2019-06-02,11
2019-06-03,11
2019-06-04,11
2019-06-05,11
2019-06-06,11
2019-06-07,11
2019-06-08,11
2019-06-09,11
2019-06-10,11
2019-06-11,12
2019-06-12,12
2019-06-13,13
2019-06-14,13
2019-06-15,13
2019-06-16,13
2019-06-17,13
2019-06-18,13
2019-06-19,14
2019-06-20,13
2019-06-21,13
2019-06-22,13
2019-06-23,12
2019-06-24,12
2019-06-25,12
2019-06-26,12
2019-06-27,13
2019-06-28,13
2019-06-29,13
2019-06-30,12
2019-07-01,12
2019-07-02,12
2019-07-03,12
2019-07-04,12
2019-07-05,12
2019-07-06,13
2019-07-07,14
2019-07-08,15
2019-07-09,15
2019-07-10,15
2019-07-11,15
2019-07-12,15
2019-07-13,15
2019-07-14,14
2019-07-15,14
2019-07-16,14
2019-07-17,14
2019-07-18,15
2019-07-19,16
2019-07-20,17
2019-07-21,17
2019-07-22,16
2019-07-23,16
2019-07-24,16
2019-07-25,16
2019-07-26,16
2019-07-27,16
2019-07-28,16
2019-07-29,17
2019-07-30,18
2019-07-31,18
2019-08-01,17
2019-08-02,17
2019-08-03,18
2019-08-04,18
2019-08-05,18
2019-08-06,17
2019-08-07,16
2019-08-08,15
2019-08-09,14
2019-08-10,13
2019-08-11,14
2019-08-12,15
2019-08-13,16
2019-08-14,16
2019-08-15,17
2019-08-16,17
2019-08-17,16
2019-08-18,15
2019-08-19,14
2019-08-20,13
2019-08-21,13
2019-08-22,14
2019-08-23,14
2019-08-24,14
2019-08-24,14
2019-08-25,15
2019-08-25,15
2019-08-26,16
2019-08-26,16
2019-08-27,17
2019-08-27,17
2019-08-28,18
2019-08-29,19
2019-08-30,18
2019-08-31,17
2019-09-01,18
2019-09-02,18
